"vegcover","firesev","age","elev","coastdist"
1.03879744,3.5,4,12.25,0.53406367
0.47759241,4.05,2.5,0.6,0.3703692007
0.94893572,2.6,1.5,2,0.5369439103
1.19490019,2.9,1.5,2,0.5369439103
1.29818904,4.3,2.3,9.7,0.5195716543
1.17348657,4,2.4,9.7,0.5195716543
0.86158595,4.8,3.5,9.5,0.5195716543
0.41906623,4.8,1.4,7.4,0.5144509852
0.12851131,7.25,4.5,1.7,0.3703692007
0.3062645,6.2,3.5,1.9,0.3785884028
0.68247702,8.05,4.5,2.1,0.3945918112
0.5310083,7.55,3.5,1.85,0.3945918112
0.2957547,7.25,3.5,1.85,0.3945918112
0.98468564,7.3,3,2.1,0.3945918112
0.69869688,3.8,1.5,4,0.5907318943
1.16663393,5.7,4,4,0.5907318943
0.84068273,4.3,2.1,2,0.5684778575
1.11949189,4.2,3.9,0.9,0.4023760175
0.41204136,4.25,3.9,0.95,0.4023760175
0.84594715,5.1,2.9,6.4,0.5860383767
1.17590928,1.95,1.2,7,0.5884576348
0.66100507,4.4,1.9,1.1,0.3785884028
0.6517726,4.45,2,1.2,0.3785884028
0.41172415,3,2.1,1.6,0.3785884028
0.53282988,1.2,0.3,0.75,0.3703692007
0.49739296,6.4,1.7,1,0.3945918112
0.20203482,8.2,4,2.1,0.3703692007
0.05557657,6.85,4,2.35,0.3945918112
0.12124606,6.15,5.7,1.6,0.3785884028
0.08297883,7.7,5.2,1.8,0.3703692007
0.54920017,6.1,3.5,7.5,0.5386043447
0.54646221,4.3,4,8.8,0.5386043447
1.27310233,3.75,0.5,0.9,0.3785884028
0.84805791,3.7,0.5,0.8,0.3785884028
0.37941846,5.7,2.8,4.9,0.5276104375
0.35841475,5.4,3.3,4.7,0.5276104375
0.63674533,4.85,3.1,4.75,0.4248586448
0.290822,4.85,4.8,4.25,0.4248586448
0.50717877,4.3,5.5,4.5,0.4248586448
0.63749067,3.25,2.2,1.2,0.3703692007
1.06473979,2.5,2.1,1.2,0.3703692007
0.76755405,3.85,1.3,4.1,0.5125227388
1.32067202,2.55,1.3,5,0.5176969703
1.07900425,3.3,2.5,2.15,0.4961300527
0.9377264,4,1.5,3.9,0.50173928
0.69915774,3.4,1.2,3.9,0.50173928
0.30582847,3.9,2.8,2.4,0.4961300527
0.55437438,4,1.6,2.15,0.4961300527
0.83649961,7.5,2.5,6,0.3945918112
0.8507124,4.9,2.8,2.75,0.5323496732
0.74700881,4.7,3.8,4,0.5323496732
0.51896384,1.7,1,6.65,0.6030202492
1.12002246,3,2.6,6.5,0.6049966672
0.56923477,6,2.3,6.45,0.6049966672
0.79578273,6.7,1.6,6.6,0.6049966672
0.9167156,2,1.9,6.5,0.6049966672
0.57708428,6.05,1.5,6.75,0.6040809575
0.67706467,3.9,2.7,6.7,0.6040809575
0.61410302,2.9,3,6.8,0.6040809575
0.62828578,3.7,3,6,0.6063930908
1.1074659,1.2,0.3,2.75,0.5369439103
0.84054394,1.3,0.6,3,0.5369439103
0.90855822,3.6,2.5,5.9,0.6063930908
0.73840393,4.4,2.8,5.5,0.6068738047
0.27628054,3.7,2.7,5.5,0.6068738047
0.77771328,4.85,1.9,4.8,0.6068738047
0.59338111,4.85,2.5,4.8,0.6068738047
0.58821905,5.6,1.1,4.75,0.60720952
0.51846397,4.1,1.1,4.75,0.60720952
0.34806766,5.7,1.5,4.5,0.5779106108
1.09761107,4.2,3.6,4.5,0.3785884028
0.54498063,4.8,2.4,3.5,0.3703692007
0.67605775,7.2,2.4,3.65,0.3703692007
0.28858364,9.2,2.6,2.6,0.43912207
0.68021606,6.2,2.6,2.5,0.43912207
1.12022933,2.1,0.6,2.1,0.4320628567
0.44701614,3.85,3.1,1.7,0.4248586448
0.48445559,3.9,2,1.3,0.3945918112
1.535408,4.85,1.5,4.75,0.5983789463
0.92860808,5.3,1.5,4.75,0.5983789463
0.46919542,4.6,1.5,9.8,0.5983789463
0.45107384,3.3,1.6,3.5,0.5176969703
0.51761156,5.4,2,3.35,0.5176969703
0.5572632,4.3,3.3,3,0.5176969703
0.5144298,3.6,1.3,6.5,0.5323496732
1.16590727,3,2,7.5,0.5323496732
1.08351251,3.8,4.8,7.3,0.4100152252
0.56744869,4.5,3.5,7,0.4100152252
0.5808883,3.9,6,8.7,0.5386043447
0.37861547,4.6,3.6,5.75,0.5386043447
